date,Room Number,T_Occupancy,T_time,Camera1,Camera2,Camera3
30-03-2022,M1 Room,3,9:39:59,1,2,0
30-03-2022,M1 Room,1,9:40:07,1,0,0
30-03-2022,M1 Room,2,9:40:27,1,1,0
30-03-2022,M1 Room,2,9:40:31,2,0,0
30-03-2022,M1 Room,1,9:40:34,0,1,0
30-03-2022,M1 Room,2,9:40:38,1,1,0
30-03-2022,M1 Room,2,9:40:38,2,0,0
30-03-2022,M1 Room,1,9:40:43,0,1,0
30-03-2022,M1 Room,2,9:40:46,2,0,0
30-03-2022,M1 Room,1,9:40:49,0,1,0
30-03-2022,M1 Room,2,9:40:51,2,0,0
30-03-2022,M1 Room,1,9:42:44,0,1,0
30-03-2022,M1 Room,3,9:42:45,1,1,1
30-03-2022,M1 Room,1,9:42:48,0,1,0
30-03-2022,M1 Room,3,9:42:51,2,1,0
30-03-2022,M1 Room,1,9:43:48,0,0,1
30-03-2022,M1 Room,2,9:43:53,1,0,1
30-03-2022,M1 Room,2,9:43:58,1,1,0
30-03-2022,M1 Room,2,9:44:12,1,0,1
30-03-2022,M1 Room,1,9:44:15,0,1,0
30-03-2022,M1 Room,3,9:44:16,1,0,2
30-03-2022,M1 Room,1,9:44:17,0,1,0
30-03-2022,M1 Room,3,9:44:24,2,0,1
30-03-2022,M1 Room,3,9:44:27,2,0,1
30-03-2022,M1 Room,3,9:44:31,1,0,2
30-03-2022,M1 Room,1,9:44:33,0,1,0
30-03-2022,M1 Room,3,9:44:43,2,0,1
30-03-2022,M1 Room,3,9:44:46,2,0,1
30-03-2022,M1 Room,3,9:44:48,2,1,0
30-03-2022,M1 Room,1,9:44:55,0,1,0
30-03-2022,M1 Room,3,9:44:55,1,0,2
30-03-2022,M1 Room,5,9:44:58,2,0,3
30-03-2022,M1 Room,0,9:44:58,0,0,0
30-03-2022,M1 Room,4,9:45:12,2,0,2
30-03-2022,M1 Room,3,9:45:16,1,0,2
30-03-2022,M1 Room,1,9:45:16,0,1,0
30-03-2022,M1 Room,1,9:45:38,0,1,0
30-03-2022,M1 Room,1,9:45:41,0,1,0
30-03-2022,M1 Room,1,9:45:44,0,1,0
30-03-2022,M1 Room,5,9:47:38,1,2,2
30-03-2022,M1 Room,5,9:47:52,1,2,2
30-03-2022,M1 Room,5,9:48:07,1,2,2
30-03-2022,M1 Room,4,9:48:10,1,2,1
30-03-2022,M1 Room,5,9:48:15,1,2,2
30-03-2022,M1 Room,3,9:48:31,1,0,2
30-03-2022,M1 Room,5,9:48:34,2,1,2
30-03-2022,M1 Room,7,9:48:54,3,1,3
30-03-2022,M1 Room,6,9:48:58,3,0,3
30-03-2022,M1 Room,6,9:49:01,3,0,3
30-03-2022,M1 Room,5,9:49:05,3,0,2
30-03-2022,M1 Room,7,9:49:08,3,1,3
30-03-2022,M1 Room,5,9:49:25,1,1,3
30-03-2022,M1 Room,4,9:49:52,1,2,1
30-03-2022,M1 Room,5,9:49:55,2,2,1
30-03-2022,M1 Room,5,9:50:18,2,1,2
30-03-2022,M1 Room,5,9:50:54,3,0,2
30-03-2022,M1 Room,6,9:50:57,4,0,2
30-03-2022,M1 Room,6,9:51:07,4,0,2
30-03-2022,M1 Room,1,9:51:27,1,0,0
30-03-2022,M1 Room,3,9:52:04,2,1,0
30-03-2022,M1 Room,6,9:52:17,4,0,2
30-03-2022,M1 Room,3,9:52:25,2,1,0
30-03-2022,M1 Room,5,9:52:27,3,0,2
30-03-2022,M1 Room,5,9:52:58,3,0,2
30-03-2022,M1 Room,4,9:53:06,2,0,2
30-03-2022,M1 Room,6,10:24:25,3,1,2
30-03-2022,M1 Room,5,10:26:18,2,2,1
30-03-2022,M1 Room,6,10:29:44,3,2,1
30-03-2022,M1 Room,5,10:30:05,3,2,0
30-03-2022,M1 Room,4,10:34:30,1,2,1
30-03-2022,M1 Room,1,10:37:39,0,1,0
30-03-2022,M1 Room,4,10:38:36,2,0,2
30-03-2022,M1 Room,4,10:39:20,2,1,1
30-03-2022,M1 Room,7,10:41:13,3,0,4
30-03-2022,M1 Room,5,10:41:40,3,0,2
30-03-2022,M1 Room,5,10:42:28,2,1,2
30-03-2022,M1 Room,2,10:55:18,1,0,1
30-03-2022,M1 Room,1,10:55:37,1,0,0
30-03-2022,M1 Room,3,10:57:13,1,1,1
30-03-2022,M1 Room,2,10:57:41,1,1,0
30-03-2022,M1 Room,5,11:07:01,0,2,3
30-03-2022,M1 Room,2,11:07:23,1,1,0
30-03-2022,M1 Room,1,11:14:37,0,1,0
30-03-2022,M1 Room,1,11:15:17,0,1,0
30-03-2022,M1 Room,1,11:15:43,0,1,0
30-03-2022,M1 Room,2,11:15:49,0,2,0
30-03-2022,M1 Room,3,11:18:17,0,2,1
30-03-2022,M1 Room,4,11:18:57,1,2,1
30-03-2022,M1 Room,1,11:20:17,0,0,1
30-03-2022,M1 Room,1,11:20:31,0,0,1
30-03-2022,M1 Room,2,11:20:44,0,1,1
30-03-2022,M1 Room,1,11:21:27,1,0,0
30-03-2022,M1 Room,1,11:22:04,0,0,1
30-03-2022,M1 Room,0,11:22:12,0,0,0
30-03-2022,M1 Room,2,11:22:37,0,0,2
30-03-2022,M1 Room,2,11:22:58,1,1,0
30-03-2022,M1 Room,3,11:24:41,0,2,1
30-03-2022,M1 Room,2,11:26:25,1,1,0
30-03-2022,M1 Room,1,11:27:29,0,1,0
30-03-2022,M1 Room,1,11:27:34,0,1,0
30-03-2022,M1 Room,1,11:27:43,0,1,0
30-03-2022,M1 Room,1,11:27:54,0,1,0
30-03-2022,M1 Room,1,11:28:03,0,1,0
30-03-2022,M1 Room,1,11:28:41,0,1,0
30-03-2022,M1 Room,1,11:29:34,0,1,0
30-03-2022,M1 Room,1,11:30:02,0,1,0
30-03-2022,M1 Room,1,11:30:23,1,0,0
30-03-2022,M1 Room,1,11:30:51,0,1,0
30-03-2022,M1 Room,1,11:30:59,0,1,0
30-03-2022,M1 Room,2,11:31:17,0,2,0
30-03-2022,M1 Room,1,11:31:23,0,1,0
30-03-2022,M1 Room,2,11:31:32,0,2,0
30-03-2022,M1 Room,1,11:31:39,0,1,0
30-03-2022,M1 Room,1,11:31:55,0,1,0
30-03-2022,M1 Room,0,11:32:03,0,0,0
30-03-2022,M1 Room,1,11:32:56,0,1,0
30-03-2022,M1 Room,2,11:32:58,0,2,0
30-03-2022,M1 Room,3,11:33:16,0,2,1
30-03-2022,M1 Room,2,11:33:20,0,2,0
30-03-2022,M1 Room,5,11:34:06,0,3,2
30-03-2022,M1 Room,0,11:34:08,0,0,0
30-03-2022,M1 Room,3,11:36:20,1,1,1
30-03-2022,M1 Room,5,11:36:29,2,1,2
30-03-2022,M1 Room,3,11:36:49,1,1,1
30-03-2022,M1 Room,3,11:37:45,1,0,2
30-03-2022,M1 Room,3,11:37:57,0,1,2
30-03-2022,M1 Room,4,11:38:49,1,1,2
30-03-2022,M1 Room,5,11:41:24,1,1,3
30-03-2022,M1 Room,4,11:42:02,2,0,2
30-03-2022,M1 Room,4,11:44:36,1,1,2
30-03-2022,M1 Room,2,11:44:50,0,2,0
30-03-2022,M1 Room,3,11:44:56,0,2,1
30-03-2022,M1 Room,1,11:45:15,0,1,0
30-03-2022,M1 Room,1,11:45:38,0,1,0
30-03-2022,M1 Room,1,11:45:43,0,1,0
30-03-2022,M1 Room,3,11:45:50,0,1,2
30-03-2022,M1 Room,1,11:45:54,0,1,0
30-03-2022,M1 Room,2,11:46:16,1,1,0
30-03-2022,M1 Room,2,11:46:36,0,2,0
30-03-2022,M1 Room,2,11:47:01,1,1,0
30-03-2022,M1 Room,2,11:49:04,0,2,0
30-03-2022,M1 Room,1,11:49:08,0,1,0
30-03-2022,M1 Room,2,11:49:14,0,2,0
30-03-2022,M1 Room,1,11:49:19,0,1,0
30-03-2022,M1 Room,1,11:49:26,0,1,0
30-03-2022,M1 Room,1,11:49:30,0,1,0
30-03-2022,M1 Room,1,11:49:34,0,1,0
30-03-2022,M1 Room,6,11:49:58,2,2,2
30-03-2022,M1 Room,5,11:51:48,0,3,2
30-03-2022,M1 Room,3,11:51:49,2,1,0
30-03-2022,M1 Room,3,11:52:05,1,2,0
30-03-2022,M1 Room,7,11:52:12,0,4,3
30-03-2022,M1 Room,3,11:52:50,0,2,1
30-03-2022,M1 Room,3,11:52:54,1,2,0
30-03-2022,M1 Room,3,11:52:58,0,2,1
30-03-2022,M1 Room,3,11:53:03,1,2,0
30-03-2022,M1 Room,4,11:57:27,1,1,2
30-03-2022,M1 Room,3,11:57:56,1,2,0
30-03-2022,M1 Room,2,11:59:04,1,1,0
30-03-2022,M1 Room,2,11:59:18,1,1,0
30-03-2022,M1 Room,4,12:01:40,1,2,1
30-03-2022,M1 Room,4,12:02:03,1,2,1
30-03-2022,M1 Room,1,12:02:10,0,1,0
30-03-2022,M1 Room,2,12:02:13,0,2,0
30-03-2022,M1 Room,7,12:02:13,2,2,3
30-03-2022,M1 Room,2,12:02:19,1,1,0
30-03-2022,M1 Room,5,12:02:34,1,2,2
30-03-2022,M1 Room,0,12:02:53,0,0,0
30-03-2022,M1 Room,2,12:03:21,0,2,0
30-03-2022,M1 Room,5,12:03:28,1,2,2
30-03-2022,M1 Room,2,12:03:42,0,2,0
30-03-2022,M1 Room,4,12:04:01,1,1,2
30-03-2022,M1 Room,2,12:05:29,1,1,0
30-03-2022,M1 Room,3,12:05:43,1,2,0
30-03-2022,M1 Room,2,12:05:57,1,1,0
30-03-2022,M1 Room,3,12:06:09,1,2,0
30-03-2022,M1 Room,2,12:06:23,1,1,0
30-03-2022,M1 Room,1,12:06:33,1,0,0
30-03-2022,M1 Room,3,12:08:31,1,0,2
30-03-2022,M1 Room,4,12:10:20,0,2,2
30-03-2022,M1 Room,1,12:11:30,0,1,0
30-03-2022,M1 Room,1,12:11:44,0,1,0
30-03-2022,M1 Room,0,12:12:03,0,0,0
30-03-2022,M1 Room,2,12:31:05,0,2,0
30-03-2022,M1 Room,1,12:31:08,0,1,0
30-03-2022,M1 Room,4,12:37:45,1,2,1
30-03-2022,M1 Room,3,12:37:56,2,1,0
30-03-2022,M1 Room,3,12:46:46,1,1,1
30-03-2022,M1 Room,1,12:46:47,0,1,0
30-03-2022,M1 Room,4,13:06:37,1,2,1
30-03-2022,M1 Room,5,13:07:25,2,3,0
30-03-2022,M1 Room,8,13:07:37,3,4,1
30-03-2022,M1 Room,5,13:09:06,2,3,0
30-03-2022,M1 Room,4,13:14:00,1,2,1
30-03-2022,M1 Room,5,13:14:27,1,2,2
30-03-2022,M1 Room,4,13:14:32,1,2,1
30-03-2022,M1 Room,3,13:15:33,1,2,0
30-03-2022,M1 Room,4,14:13:39,3,0,1
30-03-2022,M1 Room,1,14:13:48,1,0,0
30-03-2022,M1 Room,1,14:21:17,0,1,0
30-03-2022,M1 Room,1,14:21:26,1,0,0
30-03-2022,M1 Room,4,14:23:33,2,0,2
30-03-2022,M1 Room,2,14:23:45,1,0,1
30-03-2022,M1 Room,2,14:24:59,0,0,2
30-03-2022,M1 Room,2,14:28:14,0,0,2
30-03-2022,M1 Room,3,14:29:20,0,1,2
30-03-2022,M1 Room,1,14:38:59,0,1,0
30-03-2022,M1 Room,1,14:39:16,0,1,0
30-03-2022,M1 Room,3,14:48:00,1,1,1
30-03-2022,M1 Room,3,14:48:19,1,1,1
30-03-2022,M1 Room,1,14:56:57,0,1,0
30-03-2022,M1 Room,1,14:57:00,0,1,0
30-03-2022,M1 Room,1,14:57:06,0,1,0
30-03-2022,M1 Room,1,14:57:20,0,1,0
30-03-2022,M1 Room,1,14:57:33,0,1,0
30-03-2022,M1 Room,1,14:57:47,0,1,0
30-03-2022,M1 Room,1,14:57:52,0,1,0
30-03-2022,M1 Room,1,14:57:57,0,1,0
30-03-2022,M1 Room,1,15:00:25,0,1,0
30-03-2022,M1 Room,1,15:00:30,0,1,0
30-03-2022,M1 Room,1,15:00:41,0,1,0
30-03-2022,M1 Room,1,15:03:56,0,1,0
30-03-2022,M1 Room,1,15:04:02,0,1,0
30-03-2022,M1 Room,1,15:04:12,0,1,0
30-03-2022,M1 Room,5,15:06:09,1,2,2
30-03-2022,M1 Room,2,15:06:45,0,1,1
30-03-2022,M1 Room,4,15:07:29,1,1,2
30-03-2022,M1 Room,5,15:07:56,1,2,2
30-03-2022,M1 Room,2,15:10:39,0,1,1
30-03-2022,M1 Room,1,15:10:51,0,1,0
30-03-2022,M1 Room,5,15:29:06,0,3,2
30-03-2022,M1 Room,4,15:29:18,0,3,1
30-03-2022,M1 Room,5,15:30:52,0,3,2
30-03-2022,M1 Room,5,15:35:56,1,3,1
30-03-2022,M1 Room,1,15:42:26,0,1,0
30-03-2022,M1 Room,1,15:42:39,0,1,0
30-03-2022,M1 Room,3,15:42:39,1,2,0
30-03-2022,M1 Room,2,15:42:46,1,1,0
30-03-2022,M1 Room,4,15:42:49,1,2,1
30-03-2022,M1 Room,2,15:42:52,1,1,0
30-03-2022,M1 Room,1,15:43:07,0,1,0
30-03-2022,M1 Room,3,15:43:07,0,2,1
30-03-2022,M1 Room,1,15:43:15,0,1,0
30-03-2022,M1 Room,4,15:43:38,1,2,1
30-03-2022,M1 Room,2,15:43:47,1,1,0
30-03-2022,M1 Room,3,15:43:49,2,1,0
30-03-2022,M1 Room,2,15:44:08,1,1,0
30-03-2022,M1 Room,2,15:44:13,1,1,0
30-03-2022,M1 Room,3,15:44:15,1,1,1
30-03-2022,M1 Room,2,15:44:31,1,1,0
30-03-2022,M1 Room,3,15:44:32,1,2,0
30-03-2022,M1 Room,2,15:44:42,1,1,0
30-03-2022,M1 Room,2,15:44:47,1,1,0
30-03-2022,M1 Room,2,15:45:08,1,1,0
30-03-2022,M1 Room,2,15:45:13,1,1,0
30-03-2022,M1 Room,2,15:45:14,1,1,0
30-03-2022,M1 Room,3,15:45:19,1,2,0
30-03-2022,M1 Room,2,15:45:20,1,1,0
30-03-2022,M1 Room,1,15:45:25,0,1,0
30-03-2022,M1 Room,2,15:45:42,1,1,0
30-03-2022,M1 Room,2,15:45:50,1,1,0
30-03-2022,M1 Room,2,15:46:14,1,1,0
30-03-2022,M1 Room,2,15:46:22,1,1,0
30-03-2022,M1 Room,4,15:46:26,2,2,0
30-03-2022,M1 Room,2,15:46:29,1,1,0
30-03-2022,M1 Room,5,15:46:33,2,3,0
30-03-2022,M1 Room,2,15:46:36,1,1,0
30-03-2022,M1 Room,2,15:46:40,1,1,0
30-03-2022,M1 Room,2,15:46:48,1,1,0
30-03-2022,M1 Room,2,15:46:55,1,1,0
30-03-2022,M1 Room,6,15:46:58,3,2,1
30-03-2022,M1 Room,2,15:47:08,1,1,0
30-03-2022,M1 Room,2,15:47:19,1,1,0
30-03-2022,M1 Room,2,15:47:28,1,1,0
30-03-2022,M1 Room,4,15:47:57,2,1,1
30-03-2022,M1 Room,1,9:38:36,0,1,0
30-03-2022,M1 Room,1,9:38:36,1,0,0
30-03-2022,M1 Room,2,9:38:41,0,2,0
30-03-2022,M1 Room,1,9:38:42,0,1,0
30-03-2022,M1 Room,0,9:38:44,0,0,0
30-03-2022,M1 Room,1,9:38:46,0,1,0
30-03-2022,M1 Room,1,9:38:49,0,0,1
30-03-2022,M1 Room,1,9:38:49,0,1,0
30-03-2022,M1 Room,2,9:38:54,1,0,1
30-03-2022,M1 Room,2,9:40:54,1,1,0
30-03-2022,M1 Room,2,9:40:58,1,1,0
30-03-2022,M1 Room,1,9:40:58,1,0,0
30-03-2022,M1 Room,1,9:41:15,0,1,0
30-03-2022,M1 Room,1,9:41:19,0,1,0
30-03-2022,M1 Room,2,9:41:20,2,0,0
30-03-2022,M1 Room,2,9:41:26,0,2,0
30-03-2022,M1 Room,1,9:41:30,1,0,0
30-03-2022,M1 Room,1,9:42:30,0,1,0
30-03-2022,M1 Room,1,9:42:32,0,1,0
30-03-2022,M1 Room,1,9:42:36,0,1,0
30-03-2022,M1 Room,0,9:42:38,0,0,0
30-03-2022,M1 Room,1,9:44:15,0,1,0
30-03-2022,M1 Room,3,9:44:16,1,0,2
30-03-2022,M1 Room,1,9:44:17,0,1,0
30-03-2022,M1 Room,0,9:44:21,0,0,0
30-03-2022,M1 Room,1,9:44:33,0,1,0
30-03-2022,M1 Room,1,9:44:35,0,1,0
30-03-2022,M1 Room,3,9:44:43,2,0,1
30-03-2022,M1 Room,3,9:44:48,2,1,0
30-03-2022,M1 Room,0,9:44:51,0,0,0
30-03-2022,M1 Room,2,9:45:07,1,1,0
30-03-2022,M1 Room,4,9:45:12,2,0,2
30-03-2022,M1 Room,1,9:45:16,0,1,0
30-03-2022,M1 Room,1,9:45:24,0,1,0
30-03-2022,M1 Room,0,9:45:28,0,0,0
30-03-2022,M1 Room,1,9:45:31,0,1,0
30-03-2022,M1 Room,4,9:45:33,1,1,2
30-03-2022,M1 Room,1,9:45:35,0,1,0
30-03-2022,M1 Room,5,9:45:36,2,1,2
30-03-2022,M1 Room,1,9:45:44,0,1,0
30-03-2022,M1 Room,3,9:45:47,1,1,1
30-03-2022,M1 Room,1,9:45:47,0,1,0
30-03-2022,M1 Room,1,9:45:49,0,1,0
30-03-2022,M1 Room,0,9:45:55,0,0,0
30-03-2022,M1 Room,3,9:46:54,0,1,2
30-03-2022,M1 Room,3,9:47:01,0,1,2
30-03-2022,M1 Room,2,9:47:03,0,1,1
30-03-2022,M1 Room,5,9:50:18,2,1,2
30-03-2022,M1 Room,5,9:50:54,3,0,2
30-03-2022,M1 Room,6,9:52:17,4,0,2
30-03-2022,M1 Room,3,9:52:25,2,1,0
30-03-2022,M1 Room,1,10:08:23,0,1,0
30-03-2022,M1 Room,1,10:08:25,1,0,0
30-03-2022,M1 Room,1,10:11:51,0,1,0
30-03-2022,M1 Room,0,10:11:56,0,0,0
30-03-2022,M1 Room,1,10:37:39,0,1,0
30-03-2022,M1 Room,0,10:37:44,0,0,0
30-03-2022,M1 Room,3,11:11:53,1,2,0
30-03-2022,M1 Room,1,11:12:03,0,1,0
30-03-2022,M1 Room,1,11:12:22,1,0,0
30-03-2022,M1 Room,1,11:23:11,0,1,0
30-03-2022,M1 Room,0,11:23:14,0,0,0
30-03-2022,M1 Room,1,11:23:18,0,1,0
30-03-2022,M1 Room,1,11:23:28,1,0,0
30-03-2022,M1 Room,1,11:28:41,0,1,0
30-03-2022,M1 Room,6,11:28:42,1,4,1
30-03-2022,M1 Room,1,11:28:47,0,1,0
30-03-2022,M1 Room,1,11:28:59,0,1,0
30-03-2022,M1 Room,5,11:29:03,2,2,1
30-03-2022,M1 Room,1,11:32:42,0,1,0
30-03-2022,M1 Room,1,11:32:56,0,1,0
30-03-2022,M1 Room,1,11:33:09,0,1,0
30-03-2022,M1 Room,3,11:33:16,0,2,1
30-03-2022,M1 Room,2,11:44:50,0,2,0
30-03-2022,M1 Room,3,11:44:56,0,2,1
30-03-2022,M1 Room,2,11:46:36,0,2,0
30-03-2022,M1 Room,2,11:47:01,1,1,0
30-03-2022,M1 Room,4,11:51:12,2,2,0
30-03-2022,M1 Room,4,11:51:18,2,2,0
30-03-2022,M1 Room,5,11:51:48,0,3,2
30-03-2022,M1 Room,3,11:52:54,1,2,0
30-03-2022,M1 Room,3,11:52:58,0,2,1
30-03-2022,M1 Room,3,11:53:03,1,2,0
30-03-2022,M1 Room,2,11:53:07,1,1,0
30-03-2022,M1 Room,1,12:10:59,0,1,0
30-03-2022,M1 Room,1,12:11:30,0,1,0
30-03-2022,M1 Room,1,12:13:55,0,1,0
30-03-2022,M1 Room,0,12:14:01,0,0,0
30-03-2022,M1 Room,1,12:29:34,0,1,0
30-03-2022,M1 Room,1,12:29:43,0,1,0
30-03-2022,M1 Room,3,12:29:44,2,0,1
30-03-2022,M1 Room,1,12:30:10,0,1,0
30-03-2022,M1 Room,0,12:30:14,0,0,0
30-03-2022,M1 Room,1,12:30:41,0,1,0
30-03-2022,M1 Room,3,12:30:43,2,1,0
30-03-2022,M1 Room,1,12:31:02,0,1,0
30-03-2022,M1 Room,2,12:31:05,0,2,0
30-03-2022,M1 Room,1,12:31:08,0,1,0
30-03-2022,M1 Room,2,12:31:10,1,1,0
30-03-2022,M1 Room,1,12:31:20,0,1,0
30-03-2022,M1 Room,1,12:31:39,0,1,0
30-03-2022,M1 Room,1,12:31:53,0,1,0
30-03-2022,M1 Room,0,12:32:05,0,0,0
30-03-2022,M1 Room,1,12:41:30,0,1,0
30-03-2022,M1 Room,2,12:42:02,1,1,0
30-03-2022,M1 Room,1,13:02:21,0,1,0
30-03-2022,M1 Room,4,13:02:22,2,0,2
30-03-2022,M1 Room,5,14:38:17,3,0,2
30-03-2022,M1 Room,3,14:38:55,0,3,0
30-03-2022,M1 Room,1,14:39:16,0,1,0
30-03-2022,M1 Room,3,14:39:21,1,2,0
30-03-2022,M1 Room,1,14:39:40,0,1,0
30-03-2022,M1 Room,3,14:39:46,1,2,0
30-03-2022,M1 Room,1,14:51:34,0,1,0
30-03-2022,M1 Room,4,14:51:38,1,3,0
30-03-2022,M1 Room,1,14:51:50,0,1,0
30-03-2022,M1 Room,1,14:52:03,0,1,0
30-03-2022,M1 Room,4,14:52:17,1,2,1
30-03-2022,M1 Room,1,14:52:51,0,1,0
30-03-2022,M1 Room,1,14:52:57,0,1,0
30-03-2022,M1 Room,0,14:53:03,0,0,0
30-03-2022,M1 Room,2,14:53:29,1,1,0
30-03-2022,M1 Room,4,14:53:43,0,3,1
30-03-2022,M1 Room,2,14:53:46,1,1,0
30-03-2022,M1 Room,4,14:53:49,0,3,1
30-03-2022,M1 Room,1,14:54:01,0,1,0
30-03-2022,M1 Room,4,14:54:06,1,2,1
30-03-2022,M1 Room,1,14:57:33,0,1,0
30-03-2022,M1 Room,1,14:57:47,0,1,0
30-03-2022,M1 Room,1,14:57:57,0,1,0
30-03-2022,M1 Room,1,14:58:21,0,1,0
30-03-2022,M1 Room,1,14:58:24,0,1,0
30-03-2022,M1 Room,1,14:58:35,0,1,0
30-03-2022,M1 Room,0,14:58:48,0,0,0
30-03-2022,M1 Room,1,14:59:02,0,1,0
30-03-2022,M1 Room,2,14:59:15,1,1,0
30-03-2022,M1 Room,1,15:00:41,0,1,0
30-03-2022,M1 Room,1,15:00:55,0,1,0
30-03-2022,M1 Room,0,15:00:59,0,0,0
30-03-2022,M1 Room,1,15:01:17,0,1,0
30-03-2022,M1 Room,4,15:01:31,2,2,0
30-03-2022,M1 Room,1,15:01:36,0,1,0
30-03-2022,M1 Room,4,15:01:50,2,2,0
30-03-2022,M1 Room,1,15:02:14,0,1,0
30-03-2022,M1 Room,1,15:02:34,0,1,0
30-03-2022,M1 Room,1,15:02:37,0,1,0
30-03-2022,M1 Room,0,15:03:26,0,0,0
